datetime,headline,keywords
2023-03-22T22:56:22+0000,"Policymakers To Consider Tighter Rules  ","[Regulation and Deregulation of Industry|Banking and Financial Institutions|United States Politics and Government|Deposit Insurance|United States Economy]"
2023-03-16T16:31:12+0000,"Low Rates Are Over. Now What?","[Interest Rates|Banking and Financial Institutions|Government Bonds|Stocks and Bonds|United States Economy|Inflation (Economics)|Two Thousand Tens (Decade)|Credit and Debt]"
2023-01-06T08:00:13+0000,"How Even a Soft Landing May Have Its Downside","[United States Economy|Recession and Depression|Layoffs and Job Reductions|Inflation (Economics)|Wages and Salaries|Prices (Fares, Fees and Rates)|Unemployment|Small Business]"
2023-01-20T10:00:38+0000,"New Orleans Port Positions Itself  For a Reordering of Global Trade","[Ports|Economic Conditions and Trends|International Trade and World Market|Supply Chain|Factories and Manufacturing|Public-Private Sector Cooperation|United States Economy]"
2023-07-17T18:20:03+0000,"Jobs Have Roared Back, But Is Trend Sustainable?","[Banking and Financial Institutions|Labor and Jobs|Wages and Salaries|Interest Rates|United States Economy|Inflation (Economics)|Unemployment]"
2023-01-20T17:31:16+0000,"Layoffs in Tech Reveal a Divide Of Generations","[Computers and the Internet|Layoffs and Job Reductions|Generation X|Labor and Jobs|Age, Chronological|Generation Z|Millennial Generation|Nineteen Hundred Nineties|United States Economy|Nineteen Hundred Eighties|Two Thousands (Decade)]"
2023-08-04T09:01:04+0000,"U.S. Adds 187,000 Jobs As Cooling Continues","[Labor and Jobs|Layoffs and Job Reductions|Inflation (Economics)|Prices (Fares, Fees and Rates)|Hiring and Promotion|United States Economy|Recession and Depression]"
2023-06-05T16:24:41+0000,"Bear Market Nears an End As Bulls Lurk","[Standard & Poor's 500-Stock Index|Stocks and Bonds|United States Economy|Nasdaq Composite Index]"
2023-04-10T14:04:51+0000,"Loan Squeeze Raises Fears Of Slowdown","[Banking and Financial Institutions|United States Economy|Interest Rates|Credit and Debt|Inflation (Economics)]"
2023-08-21T18:32:15+0000,"States’ Clamps on China Alarm U.S. Businesses","[United States International Relations|Federal-State Relations (US)|States (US)|Foreign Investments|Law and Legislation|Land Use Policies|United States Economy|Protectionism (Trade)]"
2023-11-14T05:00:24+0000,"Economic Partners Go Separate Ways ","[International Trade and World Market|Factories and Manufacturing|Supply Chain|United States Economy|Economic Conditions and Trends|Labor and Jobs|Electric and Hybrid Vehicles]"
2023-11-02T17:50:20+0000,"Will Higher Rates Rein in the Economy? This Zoo Offers Clues.","[United States Economy|Inflation (Economics)|Interest Rates|Credit and Debt|Zoos]"
2023-04-07T09:00:43+0000,"Fed’s Rate Moves Have Curbed Job Creation and Wage Growth","[Labor and Jobs|United States Economy|Unemployment|Interest Rates|Inflation (Economics)|Wages and Salaries]"
2023-10-20T20:00:28+0000,"Deficit Reaches $1.7 Trillion, Effectively Doubling in a Year","[National Debt (US)|Federal Budget (US)|United States Politics and Government|United States Economy|Student Loans|Capital Gains Tax|Tax Evasion|Tax Cuts and Jobs Act (2017)]"
2023-10-23T07:00:41+0000,"Borrowers Start to Process High Rates Won’t Fall Soon","[Credit and Debt|United States Economy|Interest Rates|Small Business|Automobiles|Coronavirus (2019-nCoV)|Banking and Financial Institutions|Real Estate and Housing (Residential)|Agriculture and Farming|Entrepreneurship|Inflation (Economics)]"
2023-07-13T04:00:08+0000,"Beijing Wary Of U.S. Curbs On Investing","[Foreign Investments|United States International Relations|United States Politics and Government|United States Economy|Politics and Government|Regulation and Deregulation of Industry|Artificial Intelligence|Computer Chips]"
2023-05-26T09:16:54+0000,"A Tax Incentive Opens the Door For Fraudsters","[Frauds and Swindling|Tax Credits, Deductions and Exemptions|Coronavirus (2019-nCoV)|Stimulus (Economic)|Coronavirus Aid, Relief, and Economic Security Act (2020)|ACCOUNTING AND ACCOUNTANTS|Wages and Salaries|Labor and Jobs|United States Economy]"
